Hydraulic data input file for inSTREAM-Gen, Belagua River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created from Belagua PHABSIM data,From D. Ayllon from 30-10-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input for in-STREAM-Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Number of flows in table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,0.19,0.25,0.27,0.29,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.36,0.37,0.38,0.39,0.4,0.42,0.43,0.45,0.47,0.49,0.52,0.55,0.57,0.6,0.63,0.69,0.76,1.04
254,0.03,0.06,0.07,0.08,0.08,0.09,0.09,0.1,0.1,0.11,0.12,0.13,0.13,0.14,0.15,0.16,0.17,0.19,0.2,0.22,0.24,0.26,0.29,0.32,0.34,0.37,0.4,0.46,0.53,0.81
255,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.08,0.09,0.11,0.12,0.14,0.15,0.18,0.21,0.36
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.04,0.08,0.12,0.28
261,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.07,0.08,0.1,0.13,0.16,0.23,0.31,0.63
262,0,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.09,0.11,0.12,0.13,0.16,0.18,0.2,0.23,0.26,0.33,0.42,0.73
263,0,0.02,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.1,0.1,0.11,0.12,0.14,0.15,0.16,0.19,0.21,0.23,0.26,0.29,0.36,0.45,0.76
264,0.01,0.03,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.11,0.11,0.12,0.13,0.15,0.16,0.17,0.2,0.22,0.24,0.27,0.3,0.37,0.46,0.77
265,0.03,0.06,0.07,0.07,0.08,0.08,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.13,0.13,0.14,0.15,0.16,0.17,0.18,0.2,0.23,0.25,0.27,0.3,0.33,0.4,0.48,0.8
266,0.05,0.07,0.08,0.09,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.19,0.2,0.21,0.24,0.26,0.28,0.31,0.34,0.41,0.5,0.81
267,0.08,0.1,0.11,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.18,0.18,0.19,0.2,0.22,0.23,0.24,0.27,0.29,0.31,0.34,0.37,0.44,0.53,0.84
268,0.08,0.1,0.11,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.18,0.18,0.19,0.2,0.22,0.23,0.24,0.27,0.29,0.31,0.34,0.37,0.44,0.53,0.84
269,0.03,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0.13,0.13,0.14,0.15,0.17,0.18,0.19,0.22,0.24,0.26,0.29,0.32,0.39,0.48,0.79
270,0,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.09,0.1,0.11,0.12,0.14,0.17,0.19,0.21,0.24,0.27,0.34,0.42,0.74
271,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.07,0.08,0.09,0.1,0.12,0.15,0.19,0.35
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0.01,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.19,0.22,0.22
277,0.04,0.08,0.09,0.1,0.11,0.11,0.12,0.12,0.13,0.16,0.17,0.19,0.2,0.21,0.23,0.24,0.25,0.27,0.29,0.31,0.33,0.34,0.37,0.39,0.41,0.43,0.46,0.51,0.56,0.56
278,0.33,0.41,0.44,0.46,0.47,0.48,0.49,0.5,0.52,0.54,0.56,0.57,0.59,0.6,0.62,0.63,0.64,0.66,0.68,0.7,0.71,0.73,0.75,0.77,0.79,0.82,0.84,0.89,0.95,0.95
279,0.53,0.61,0.65,0.66,0.67,0.68,0.69,0.71,0.72,0.75,0.76,0.78,0.79,0.8,0.82,0.83,0.84,0.86,0.88,0.9,0.92,0.93,0.96,0.98,1,1.02,1.05,1.1,1.15,1.15
280,0.3,0.38,0.42,0.43,0.44,0.45,0.46,0.48,0.49,0.52,0.53,0.55,0.56,0.57,0.59,0.6,0.61,0.63,0.65,0.67,0.69,0.7,0.73,0.75,0.77,0.79,0.82,0.87,0.92,0.92
281,0.06,0.1,0.13,0.15,0.16,0.17,0.18,0.19,0.21,0.23,0.25,0.26,0.28,0.29,0.31,0.32,0.33,0.35,0.37,0.39,0.4,0.42,0.44,0.46,0.48,0.51,0.53,0.58,0.64,0.64
282,0,0,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.08,0.09,0.11,0.12,0.13,0.15,0.16,0.17,0.19,0.21,0.23,0.25,0.26,0.29,0.31,0.33,0.35,0.38,0.43,0.48,0.48
283,0,0,0,0,0,0,0,0,0,0.01,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.11,0.14,0.16,0.18,0.2,0.23,0.28,0.33,0.33
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.03,0.04,0.05,0.06,0.09,0.12,0.12
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.29
287,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.09,0.1,0.11,0.13,0.15,0.17,0.2,0.22,0.29,0.39,0.92
288,0.07,0.11,0.12,0.13,0.13,0.13,0.14,0.15,0.15,0.17,0.18,0.19,0.2,0.21,0.23,0.24,0.25,0.28,0.3,0.32,0.35,0.37,0.41,0.45,0.49,0.54,0.6,0.72,0.89,1.42
289,0.16,0.23,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.34,0.35,0.36,0.37,0.38,0.4,0.41,0.42,0.45,0.47,0.49,0.52,0.54,0.58,0.62,0.66,0.71,0.77,0.9,1.06,1.59
290,0.09,0.16,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.27,0.28,0.29,0.3,0.31,0.33,0.34,0.35,0.38,0.4,0.42,0.45,0.47,0.51,0.55,0.59,0.64,0.7,0.83,0.99,1.52
291,0,0.06,0.08,0.1,0.11,0.11,0.12,0.14,0.15,0.16,0.17,0.18,0.2,0.21,0.22,0.24,0.25,0.27,0.29,0.32,0.34,0.37,0.41,0.45,0.48,0.54,0.59,0.72,0.88,1.42
292,0,0.02,0.04,0.06,0.07,0.07,0.08,0.1,0.11,0.12,0.13,0.14,0.16,0.17,0.18,0.2,0.21,0.23,0.25,0.28,0.3,0.33,0.37,0.41,0.44,0.5,0.55,0.68,0.84,1.38
293,0,0,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.06,0.07,0.08,0.09,0.1,0.12,0.13,0.14,0.17,0.19,0.21,0.24,0.26,0.3,0.34,0.38,0.43,0.49,0.61,0.78,1.31
294,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.09,0.1,0.12,0.16,0.2,0.24,0.29,0.35,0.47,0.64,1.17
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.05,0.07,0.1,0.12,0.19,0.27,0.54
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.06,0.21
299,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.08,0.09,0.11,0.12,0.14,0.15,0.21,0.28,0.56
300,0.01,0.04,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.1,0.11,0.11,0.12,0.13,0.14,0.15,0.17,0.18,0.2,0.22,0.24,0.27,0.3,0.32,0.35,0.38,0.44,0.51,0.79
301,0.09,0.15,0.17,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.3,0.32,0.33,0.35,0.37,0.39,0.42,0.45,0.47,0.5,0.53,0.59,0.66,0.94
302,0.3,0.36,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.54,0.55,0.57,0.59,0.62,0.65,0.67,0.71,0.74,0.8,0.86,1.15
303,0.4,0.46,0.48,0.5,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.57,0.58,0.59,0.6,0.61,0.63,0.64,0.66,0.68,0.7,0.73,0.76,0.78,0.81,0.84,0.9,0.97,1.25
304,0.35,0.41,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.59,0.6,0.62,0.64,0.67,0.7,0.72,0.76,0.79,0.85,0.91,1.2
305,0.19,0.25,0.27,0.29,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.36,0.37,0.38,0.39,0.4,0.42,0.43,0.45,0.47,0.49,0.52,0.55,0.57,0.6,0.63,0.69,0.76,1.04
306,0.03,0.06,0.07,0.08,0.08,0.09,0.09,0.1,0.1,0.11,0.12,0.13,0.13,0.14,0.15,0.16,0.17,0.19,0.2,0.22,0.24,0.26,0.29,0.32,0.34,0.37,0.4,0.46,0.53,0.81
307,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.08,0.09,0.11,0.12,0.14,0.15,0.18,0.21,0.36
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
